IDIndikator;skrIndikator;IDTer;nTer;IDVrPod;nVrPod;nPol;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
18030802IND01;Пројекције становништва по општинама;70092;Барајево;1;Базна популација - процене становништва средином 2011.  године;Укупно;27048;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70106;Вождовац;1;Базна популација - процене становништва средином 2011.  године;Укупно;158156;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70114;Врачар;1;Базна популација - процене становништва средином 2011.  године;Укупно;56417;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70122;Гроцка;1;Базна популација - процене становништва средином 2011.  године;Укупно;83633;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70149;Звездара;1;Базна популација - процене становништва средином 2011.  године;Укупно;151540;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70157;Земун;1;Базна популација - процене становништва средином 2011.  године;Укупно;167749;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70165;Лазаревац;1;Базна популација - процене становништва средином 2011.  године;Укупно;58596;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70173;Младеновац;1;Базна популација - процене становништва средином 2011.  године;Укупно;53090;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70181;Нови Београд;1;Базна популација - процене становништва средином 2011.  године;Укупно;214587;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70190;Обреновац;1;Базна популација - процене становништва средином 2011.  године;Укупно;72459;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70203;Палилула;1;Базна популација - процене становништва средином 2011.  године;Укупно;173347;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70211;Раковица;1;Базна популација - процене становништва средином 2011.  године;Укупно;108522;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70220;Савски венац;1;Базна популација - процене становништва средином 2011.  године;Укупно;39226;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70238;Сопот;1;Базна популација - процене становништва средином 2011.  године;Укупно;20338;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70246;Стари град;1;Базна популација - процене становништва средином 2011.  године;Укупно;43664;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70254;Чукарица;1;Базна популација - процене становништва средином 2011.  године;Укупно;181186;A;Коначан податак;F;Слободан за објављивање;;
