naziv, pib, grad, adresa, tip, broj_automata_ili_uplatnih_mesta 
ACTUAL GAME D.O.O. BEOGRAD, 105647200, Аранђеловац, Књаза Милоша 62, аутомати, 9
ACTUAL GAME D.O.O. BEOGRAD, 105647200, Врачар, Максима Горког 75, аутомати, 13
ACTUAL GAME D.O.O. BEOGRAD, 105647200, Звездара, Булевар краља Александра бр. 125, аутомати, 5
ACTUAL GAME D.O.O. BEOGRAD, 105647200, Краљево, Октобарских жртава б.б., аутомати, 15
ACTUAL GAME D.O.O. BEOGRAD, 105647200, Краљево, Хајдук Вељкова 20, аутомати, 31
ACTUAL GAME D.O.O. BEOGRAD, 105647200, Нови Пазар, Његошева кп.бр.584/2, аутомати, 44
ACTUAL GAME D.O.O. BEOGRAD, 105647200, Савски Венац, Краљице Наталије 30, аутомати, 6
ACTUAL GAME D.O.O. BEOGRAD, 105647200, Чачак, Железничка бб Т.Ц. Вавилон, аутомати, 17
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Александровац, Трг ослобођења 4, аутомати, 22
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Бор, Краља Петра Првог 18/6, аутомати, 33
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Бујановац, Карађорђа Петровића 131, аутомати, 25
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Ваљево, Синђелићева 23, аутомати, 21
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Велико Градиште, Трг Младена Милорадовића 21, аутомати, 26
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Вождовац, Браће Јерковић 137а, аутомати, 36
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Врање, Трг Братства и јединства 2, аутомати, 5
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Врачар, Макензијева 25, аутомати, 28
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Врачар, Милешевска 58, аутомати, 34
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Зајечар, Светозара Марковића 9, аутомати, 33
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Звездара, Угао Мис Ирбијеве и Војислава Илића 141, аутомати, 77
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Земун, Главна 53, аутомати, 36
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Земун, Џона Кенедија 10л, аутомати, 29
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Ивањица, Бошка Петровића 36, аутомати, 17
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Јагодина, Синђелићева 23, аутомати, 27
